Latitude,longitude,tree_dbh,status,health,spc_common,boroname
40.73346807,-73.97646308,4,Alive,Good,London planetree,Manhattan
40.72666328,-73.99941653,5,Alive,Good,willow oak,Manhattan
40.7816867,-73.97549554,26,Alive,Good,London planetree,Manhattan
40.73974645,-73.9850924,4,Alive,Good,honeylocust,Manhattan
40.71011368,-74.01235235,3,Alive,Good,honeylocust,Manhattan
40.74791179,-73.98052056,4,Alive,Good,Sophora,Manhattan
40.71751014,-73.99597274,1,Alive,Poor,Sophora,Manhattan
40.76395531,-73.96078214,5,Alive,Good,honeylocust,Manhattan
40.76382569,-73.96047463,4,Alive,Good,honeylocust,Manhattan
40.7206881,-73.98224174,4,Alive,Good,honeylocust,Manhattan
40.80754134,-73.95861206,11,Alive,Fair,Callery pear,Manhattan
40.74797175,-74.00705779,3,Alive,Fair,swamp white oak,Manhattan
40.76996863,-73.98208864,4,Alive,Good,crab apple,Manhattan
40.76310829,-73.96071138,12,Alive,Good,honeylocust,Manhattan
40.70807232,-74.01779961,11,Alive,Good,Japanese zelkova,Manhattan
40.73951749,-74.00396884,5,Alive,Good,Japanese zelkova,Manhattan
40.80402101,-73.95281041,7,Alive,Good,American linden,Manhattan
40.78281017,-73.95150745,4,Alive,Good,Sophora,Manhattan
40.7226696,-73.97718111,4,Alive,Good,Sophora,Manhattan
40.76726396,-73.99030242,6,Alive,Good,Sophora,Manhattan
40.77036254,-73.98154552,8,Alive,Good,honeylocust,Manhattan
40.77123388,-73.95966713,10,Alive,Fair,American linden,Manhattan
40.77047459,-73.98596471,9,Alive,Fair,honeylocust,Manhattan
40.73616366,-73.98067313,6,Alive,Good,honeylocust,Manhattan
40.80732247,-73.96719944,13,Alive,Good,honeylocust,Manhattan
40.72569708,-73.97909807,3,Alive,Fair,Sophora,Manhattan
40.73588436,-73.9995854,15,Alive,Good,ginkgo,Manhattan
40.77066826,-73.98642287,11,Alive,Good,honeylocust,Manhattan
40.7665429,-73.98637067,11,Alive,Good,honeylocust,Manhattan
40.77774504,-73.96095697,7,Alive,Good,sweetgum,Manhattan
40.75685573,-73.98308165,7,Alive,Good,ginkgo,Manhattan
40.7995744,-73.96953689,8,Alive,Good,honeylocust,Manhattan
40.73563404,-73.98266889,7,Alive,Good,ginkgo,Manhattan
40.76925783,-73.95922788,13,Alive,Good,ginkgo,Manhattan
40.76497172,-73.99067638,8,Alive,Good,American linden,Manhattan
40.781923,-73.97532346,21,Alive,Good,pin oak,Manhattan
40.80239611,-73.96230577,21,Alive,Good,pin oak,Manhattan
40.74990774,-73.97654061,14,Alive,Good,Sophora,Manhattan
40.76427225,-73.95933547,12,Alive,Good,honeylocust,Manhattan
40.74452808,-73.9854111,6,Alive,Good,honeylocust,Manhattan
